10-digit PSGC,Name,Geographic Level
1300000000,National Capital Region (NCR),REGION
1380100000,City of Caloocan,HUC
1380200000,City of Las Piñas,HUC
1380300000,City of Makati,HUC
1380400000,City of Malabon,HUC
1380500000,City of Mandaluyong,HUC
1380600000,City of Manila,HUC
1380700000,City of Marikina,HUC
1380800000,City of Muntinlupa,HUC
1380900000,City of Navotas,HUC
1381000000,City of Parañaque,HUC
1381100000,Pasay City,HUC
1381200000,City of Pasig,HUC
1381300000,Quezon City,HUC
1381400000,City of San Juan,HUC
1381500000,City of Taguig,HUC
1381600000,City of Valenzuela,HUC
1381701000,Pateros,HUC
1400000000,Cordillera Administrative Region (CAR),HUC
1400100000,Abra,HUC
1400101000,Bangued ,HUC
1400102000,Boliney,HUC
1400103000,Bucay,HUC
1400104000,Bucloc,HUC
1400105000,Daguioman,HUC
1400106000,Danglas,HUC
1400107000,Dolores,HUC
1400108000,La Paz,HUC
1400109000,Lacub,HUC
1400110000,Lagangilang,HUC
1400111000,Lagayan,HUC
1400112000,Langiden,HUC
1400113000,Licuan-Baay,HUC
1400114000,Luba,HUC
1400115000,Malibcong,MUNICIPALITY
1400116000,Manabo,MUNICIPALITY
1400117000,Peñarrubia,MUNICIPALITY
1400118000,Pidigan,MUNICIPALITY
1400119000,Pilar,MUNICIPALITY
1400120000,Sallapadan,MUNICIPALITY
1400121000,San Isidro,MUNICIPALITY
1400122000,San Juan,MUNICIPALITY
1400123000,San Quintin,MUNICIPALITY
1400124000,Tayum,MUNICIPALITY
1400125000,Tineg,MUNICIPALITY
1400126000,Tubo,MUNICIPALITY
1400127000,Villaviciosa,MUNICIPALITY
1401100000,Benguet,PROVINCE
1401101000,Atok,MUNICIPALITY
1401103000,Bakun,MUNICIPALITY
1401104000,Bokod,MUNICIPALITY
1401105000,Buguias,MUNICIPALITY
1401106000,Itogon,MUNICIPALITY
1401107000,Kabayan,MUNICIPALITY
1401108000,Kapangan,MUNICIPALITY
1401109000,Kibungan,MUNICIPALITY
1401110000,La Trinidad ,MUNICIPALITY
1401111000,Mankayan,MUNICIPALITY
1401112000,Sablan,MUNICIPALITY
1401113000,Tuba,MUNICIPALITY
1401114000,Tublay,MUNICIPALITY
1402700000,Ifugao,PROVINCE
